"ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2","Shape_Length","Shape_Area"
105,"IND","India","14","Himachal Pradesh","160","Hamirpur","District","District",NA,NA,1.69329522816896,0.106654116505512
105,"IND","India","14","Himachal Pradesh","161","Kangra","District","District",NA,NA,5.08369680837303,0.545261138133378
105,"IND","India","14","Himachal Pradesh","162","Kinnaur","District","District",NA,"Kalpa",4.70138650890068,0.61353396280903
105,"IND","India","14","Himachal Pradesh","163","Kullu","District","District",NA,NA,3.78500474731244,0.524580407436574
105,"IND","India","14","Himachal Pradesh","164","Lahul and Spiti","District","District",NA,NA,8.66592892435031,1.32478929400532
105,"IND","India","14","Himachal Pradesh","165","Mandi","District","District",NA,NA,2.9734613929098,0.375371453985291
105,"IND","India","14","Himachal Pradesh","166","Shimla","District","District",NA,"Simla",5.08800877835216,0.485694182141726
105,"IND","India","14","Himachal Pradesh","167","Sirmaur","District","District",NA,"Sirmour|Sirmoor|Sirmur",3.06058791615226,0.2643689637189
105,"IND","India","14","Himachal Pradesh","168","Solan","District","District",NA,NA,2.68999437244467,0.184812570172645
105,"IND","India","14","Himachal Pradesh","169","Una","District","District",NA,NA,2.08506929059384,0.146097374446978
105,"IND","India","15","Jammu and Kashmir","170","Anantnag (Kashmir South)","District","District",NA,NA,3.87100717380766,0.427965364593554
105,"IND","India","15","Jammu and Kashmir","171","Bagdam","District","District",NA,NA,1.47537470081927,0.122235950184397
105,"IND","India","15","Jammu and Kashmir","172","Baramula (Kashmir North)","District","District",NA,NA,4.6555448683833,0.50606356358913
105,"IND","India","15","Jammu and Kashmir","173","Doda","District","District",NA,NA,5.64739542985849,1.02924270421498
105,"IND","India","15","Jammu and Kashmir","174","Jammu","District","District",NA,NA,3.49267350906719,0.350299085330346
105,"IND","India","15","Jammu and Kashmir","175","Kargil","District","District",NA,NA,7.07093445261942,1.39893749500336
105,"IND","India","15","Jammu and Kashmir","176","Kathua","District","District",NA,NA,2.18613149524191,0.193661116471044
105,"IND","India","15","Jammu and Kashmir","177","Kupwara (Muzaffarabad)","District","District",NA,NA,2.45944164224108,0.268808419219566
105,"IND","India","15","Jammu and Kashmir","178","Ladakh (Leh)","District","District",NA,NA,12.9326610587596,4.66402069410827
